Date,Actual,Predicted
1/2/2020,2,4
1/3/2020,5,4
1/6/2020,6,3
1/7/2020,7,4
1/8/2020,8,7
1/9/2020,5,5
1/10/2020,5,5
1/11/2020,1,1
1/13/2020,11,6
1/14/2020,10,8
1/15/2020,10,6
1/16/2020,10,8
1/17/2020,7,6
1/20/2020,6,7
1/21/2020,8,7
1/22/2020,9,7
1/23/2020,5,6
1/24/2020,9,6
1/25/2020,1,2
1/27/2020,6,7
1/28/2020,3,7
1/29/2020,6,7
1/30/2020,10,6
1/31/2020,6,5
2/1/2020,2,1
2/3/2020,6,6
2/4/2020,8,6
2/5/2020,7,6
2/6/2020,4,5
2/7/2020,7,7
2/8/2020,1,2
2/9/2020,1,0
2/10/2020,5,6
2/11/2020,12,6
2/12/2020,5,5
2/13/2020,10,8
2/14/2020,7,6
2/15/2020,1,2
2/16/2020,1,3
2/17/2020,5,6
2/18/2020,5,7
2/19/2020,13,8
2/20/2020,6,7
2/21/2020,3,7
2/22/2020,2,2
2/24/2020,6,7
2/25/2020,7,8
2/26/2020,6,8
2/27/2020,15,8
2/28/2020,8,8
2/29/2020,2,2
3/2/2020,7,8
3/3/2020,10,8
3/4/2020,9,8
3/5/2020,14,8
3/6/2020,6,7
3/7/2020,1,2
3/10/2020,8,7
3/11/2020,7,7
3/12/2020,6,8
3/13/2020,3,5
3/14/2020,1,2
3/15/2020,1,3
3/16/2020,8,6
3/17/2020,3,7
3/18/2020,4,6
3/19/2020,3,5
3/20/2020,7,7
3/22/2020,1,1
3/23/2020,6,5
3/24/2020,5,5
3/25/2020,2,5
3/26/2020,5,5
3/27/2020,8,5
3/29/2020,1,1
3/30/2020,5,5
3/31/2020,6,4
4/1/2020,4,4
4/2/2020,3,5
4/3/2020,8,5
4/4/2020,2,0
4/5/2020,2,0
4/6/2020,6,4
4/7/2020,4,4
4/8/2020,6,6
4/9/2020,5,6
4/10/2020,1,4
4/14/2020,7,6
4/15/2020,5,6
4/16/2020,7,5
4/17/2020,5,6
4/21/2020,3,5
4/22/2020,5,5
4/23/2020,8,5
4/24/2020,7,4
4/25/2020,1,0
4/27/2020,8,5
4/28/2020,5,5
4/29/2020,12,6
4/30/2020,8,5
5/1/2020,1,4
5/2/2020,2,0
5/3/2020,1,1
5/4/2020,3,6
5/5/2020,4,6
5/6/2020,11,6
5/7/2020,2,5
5/8/2020,3,5
5/10/2020,1,1
5/11/2020,9,5
5/12/2020,8,7
5/13/2020,4,4
5/14/2020,5,6
5/15/2020,7,7
5/17/2020,1,2
5/18/2020,4,6
5/19/2020,10,5
5/20/2020,11,7
5/21/2020,8,6
5/22/2020,6,5
5/25/2020,1,5
5/26/2020,7,5
5/27/2020,7,6
5/28/2020,5,5
5/29/2020,3,5
5/31/2020,1,0
6/1/2020,6,5
6/2/2020,6,5
6/3/2020,4,6
6/4/2020,8,6
6/5/2020,4,5
6/7/2020,1,0
6/8/2020,10,6
6/9/2020,8,7
6/10/2020,2,5
6/11/2020,12,6
6/12/2020,4,5
6/15/2020,4,6
6/16/2020,10,6
6/17/2020,8,7
6/18/2020,4,5
6/19/2020,9,5
6/22/2020,9,5
6/23/2020,7,5
6/24/2020,3,5
6/25/2020,5,5
6/26/2020,9,5
6/28/2020,1,0
6/29/2020,10,5
6/30/2020,7,4
7/1/2020,3,4
7/2/2020,5,5
7/3/2020,2,5
7/4/2020,1,0
7/5/2020,2,0
7/6/2020,6,4
7/7/2020,1,4
7/8/2020,3,5
7/9/2020,10,7
7/10/2020,8,4
7/12/2020,2,1
7/13/2020,3,3
7/14/2020,6,5
7/15/2020,5,6
7/16/2020,4,5
7/17/2020,7,6
7/18/2020,1,0
7/20/2020,12,6
7/21/2020,8,5
7/22/2020,8,5
7/23/2020,4,5
7/24/2020,6,4
7/26/2020,2,0
7/27/2020,8,5
7/28/2020,3,5
7/29/2020,3,5
7/30/2020,4,5
7/31/2020,4,4
8/3/2020,2,5
8/4/2020,5,5
8/5/2020,5,5
8/6/2020,6,5
8/7/2020,3,4
8/10/2020,8,5
8/11/2020,5,6
8/12/2020,6,6
8/13/2020,5,5
8/14/2020,9,7
8/16/2020,1,2
8/17/2020,10,7
8/18/2020,8,5
8/19/2020,7,7
8/20/2020,5,8
8/21/2020,4,6
8/22/2020,2,2
8/24/2020,2,6
8/25/2020,7,7
8/26/2020,5,7
8/27/2020,7,7
8/28/2020,12,7
8/31/2020,4,6
9/1/2020,7,7
9/2/2020,11,8
9/3/2020,12,8
9/4/2020,5,7
9/6/2020,1,2
9/7/2020,7,7
9/8/2020,8,9
9/9/2020,5,8
9/10/2020,9,7
9/11/2020,6,8
9/12/2020,1,1
9/13/2020,1,3
9/14/2020,9,9
9/15/2020,10,7
9/16/2020,6,8
9/17/2020,9,7
9/18/2020,8,6
9/20/2020,2,3
9/21/2020,4,7
9/22/2020,9,7
9/23/2020,5,6
9/24/2020,10,6
9/25/2020,7,7
9/27/2020,2,2
9/28/2020,11,7
9/29/2020,6,7
9/30/2020,4,6
10/1/2020,1,6
10/2/2020,7,6
10/3/2020,2,2
10/5/2020,4,6
10/6/2020,4,6
10/7/2020,14,6
10/8/2020,6,8
10/9/2020,6,8
10/10/2020,1,1
10/11/2020,1,3
10/12/2020,11,6
10/13/2020,8,5
10/14/2020,9,8
10/15/2020,5,7
10/16/2020,8,7
10/17/2020,1,3
10/19/2020,5,7
10/20/2020,8,7
10/21/2020,7,6
10/22/2020,7,7
10/23/2020,4,6
10/26/2020,5,6
10/27/2020,4,6
10/28/2020,7,6
10/29/2020,6,6
10/30/2020,7,5
11/1/2020,2,1
11/2/2020,4,5
11/3/2020,8,6
11/4/2020,3,5
11/5/2020,7,5
11/6/2020,4,4
11/9/2020,7,5
11/10/2020,3,5
11/11/2020,5,6
11/12/2020,5,4
11/13/2020,6,5
11/16/2020,5,7
11/17/2020,5,6
11/18/2020,5,6
11/19/2020,6,8
11/20/2020,10,6
11/23/2020,6,6
11/24/2020,6,7
11/25/2020,9,7
11/26/2020,9,8
11/27/2020,11,7
11/29/2020,1,3
11/30/2020,4,7
12/1/2020,7,7
12/2/2020,10,8
12/3/2020,6,8
12/4/2020,6,8
12/5/2020,1,2
12/7/2020,11,6
12/8/2020,8,8
12/9/2020,9,9
12/10/2020,3,6
12/11/2020,7,7
12/12/2020,2,1
12/13/2020,1,0
12/14/2020,5,7
12/15/2020,11,6
12/16/2020,2,6
12/17/2020,8,6
12/18/2020,3,4
12/19/2020,1,0
12/21/2020,8,4
12/22/2020,3,4
12/23/2020,5,4
12/24/2020,1,3
12/28/2020,2,4
12/29/2020,3,4
12/30/2020,2,3
12/31/2020,2,3
1/3/2021,1,0
1/4/2021,6,4
1/5/2021,5,5
1/6/2021,1,4
1/7/2021,7,5
1/8/2021,7,7
1/9/2021,1,1
1/11/2021,3,7
1/12/2021,3,5
1/13/2021,4,7
1/14/2021,6,8
1/15/2021,5,7
1/18/2021,5,7
1/19/2021,6,9
1/20/2021,7,8
1/21/2021,8,7
1/22/2021,5,7
1/23/2021,2,2
1/25/2021,8,7
1/26/2021,8,8
1/27/2021,7,7
1/28/2021,7,8
1/29/2021,8,7
2/1/2021,3,6
2/2/2021,6,7
2/3/2021,3,7
2/4/2021,4,6
2/5/2021,8,6
2/8/2021,12,8
2/9/2021,7,6
2/10/2021,9,7
2/11/2021,7,6
2/12/2021,3,5
2/13/2021,1,3
2/15/2021,3,7
2/16/2021,7,8
2/17/2021,4,6
2/18/2021,9,8
2/19/2021,3,8
2/22/2021,9,8
2/23/2021,8,7
2/24/2021,11,8
2/25/2021,4,9
2/26/2021,12,8
2/27/2021,1,3
2/28/2021,1,4
3/1/2021,4,8
3/2/2021,13,7
3/3/2021,13,8
3/4/2021,8,9
3/5/2021,10,8
3/7/2021,3,3
3/8/2021,3,7
3/9/2021,1,8
3/10/2021,9,10
3/11/2021,10,8
3/12/2021,7,7
3/16/2021,15,8
3/17/2021,8,7
3/18/2021,13,8
3/19/2021,3,6
3/20/2021,1,1
3/22/2021,7,6
3/23/2021,9,6
3/24/2021,3,6
3/25/2021,4,5
3/26/2021,6,5
3/28/2021,3,1
3/29/2021,3,6
3/30/2021,6,6
3/31/2021,7,6
4/1/2021,6,5
4/2/2021,2,5
4/5/2021,1,5
4/6/2021,4,5
4/7/2021,6,5
4/8/2021,7,5
4/9/2021,5,6
4/10/2021,1,2
4/12/2021,7,6
4/13/2021,6,5
4/14/2021,4,4
4/15/2021,8,7
4/16/2021,5,6
4/19/2021,4,5
4/20/2021,4,6
4/21/2021,2,7
4/22/2021,4,6
4/23/2021,6,6
4/25/2021,1,0
4/26/2021,4,6
4/27/2021,7,6
4/28/2021,7,6
4/29/2021,5,6
4/30/2021,6,6
5/3/2021,6,6
5/4/2021,6,6
5/5/2021,6,7
5/6/2021,5,6
5/7/2021,3,6
5/8/2021,1,1
5/9/2021,1,2
5/10/2021,10,8
5/11/2021,4,7
5/12/2021,6,6
5/13/2021,5,8
5/14/2021,4,5
5/15/2021,1,1
5/17/2021,5,6
5/18/2021,9,8
5/19/2021,16,7
5/20/2021,1,6
5/21/2021,9,7
5/24/2021,2,6
5/25/2021,2,6
5/26/2021,7,6
5/27/2021,4,6
5/28/2021,3,6
5/31/2021,7,6
6/1/2021,5,5
6/2/2021,8,6
6/3/2021,6,6
6/4/2021,8,6
6/6/2021,2,1
6/7/2021,6,6
6/8/2021,1,5
6/9/2021,9,7
6/10/2021,4,8
6/11/2021,2,5
6/13/2021,1,1
6/14/2021,4,5
6/15/2021,5,8
6/16/2021,1,7
6/17/2021,7,7
6/18/2021,5,7
6/19/2021,1,0
6/21/2021,7,7
6/22/2021,4,6
6/23/2021,5,6
6/24/2021,10,6
6/25/2021,9,5
6/28/2021,2,6
6/29/2021,2,6
6/30/2021,4,7
7/1/2021,3,5
7/2/2021,1,5
7/5/2021,6,6
7/6/2021,3,6
7/7/2021,4,6
7/8/2021,5,5
7/9/2021,5,5
7/10/2021,1,2
7/12/2021,8,5
7/13/2021,3,7
7/14/2021,5,4
7/15/2021,4,6
7/16/2021,8,7
7/19/2021,6,6
7/20/2021,4,5
7/21/2021,5,7
7/22/2021,3,6
7/23/2021,4,5
7/26/2021,3,5
7/27/2021,4,6
7/28/2021,4,6
7/29/2021,6,6
7/30/2021,7,6
8/2/2021,9,5
8/3/2021,4,6
8/4/2021,6,7
8/5/2021,8,7
8/6/2021,6,5
8/8/2021,1,1
8/10/2021,7,0
8/11/2021,10,7
8/12/2021,4,8
8/13/2021,2,6
8/15/2021,1,7
8/16/2021,3,6
8/17/2021,3,0
8/18/2021,2,3
8/19/2021,1,7
8/20/2021,4,7
8/23/2021,5,8
8/24/2021,10,6
8/25/2021,11,7
8/26/2021,6,3
8/27/2021,5,2
8/28/2021,1,7
8/30/2021,3,7
8/31/2021,6,7
9/1/2021,5,7
9/2/2021,5,8
9/3/2021,5,3
9/6/2021,2,3
9/7/2021,6,8
9/8/2021,7,7
9/9/2021,6,7
9/10/2021,1,8
9/13/2021,10,8
9/14/2021,3,3
9/15/2021,8,3
9/16/2021,7,8
9/17/2021,5,7
9/20/2021,4,8
9/21/2021,8,10
9/22/2021,4,8
9/23/2021,2,3
9/24/2021,4,4
9/27/2021,6,6
9/28/2021,6,8
9/29/2021,1,9
9/30/2021,8,8
10/1/2021,2,9
10/4/2021,3,3
10/5/2021,3,2
10/6/2021,5,9
10/7/2021,3,8
10/8/2021,4,8
10/9/2021,2,8
10/10/2021,1,7
10/11/2021,7,2
10/12/2021,13,3
10/13/2021,3,8
10/14/2021,2,7
10/15/2021,5,8
10/18/2021,4,8
10/19/2021,1,6
10/20/2021,5,2
10/21/2021,4,3
10/22/2021,4,8
10/25/2021,9,8
10/26/2021,8,7
10/27/2021,6,7
10/28/2021,6,6
10/29/2021,2,3
10/31/2021,1,4
11/1/2021,1,6
11/2/2021,5,8
11/3/2021,6,7
11/4/2021,3,6
11/5/2021,9,9
11/8/2021,3,3
11/9/2021,4,3
11/10/2021,5,8
11/11/2021,3,6
11/12/2021,4,8
11/15/2021,11,8
11/16/2021,6,6
11/17/2021,6,2
11/18/2021,5,2
11/19/2021,7,6
11/21/2021,2,6
11/22/2021,8,7
11/23/2021,2,7
11/24/2021,7,6
11/25/2021,3,2
11/26/2021,3,1
11/29/2021,4,5
11/30/2021,5,6
12/1/2021,8,6
12/2/2021,8,7
12/3/2021,3,6
12/6/2021,6,1
12/7/2021,2,1
12/8/2021,4,6
12/9/2021,2,8
12/10/2021,6,6
12/13/2021,7,6
12/14/2021,5,7
12/15/2021,6,0
12/16/2021,6,2
12/17/2021,6,8
12/19/2021,1,7
12/20/2021,3,8
12/21/2021,3,7
12/22/2021,4,6
12/23/2021,5,3
12/26/2021,2,3
12/29/2021,3,7
12/30/2021,3,8
12/31/2021,2,7
1/3/2022,2,8
1/4/2022,3,8
1/5/2022,7,4
1/6/2022,2,4
1/7/2022,8,9
1/8/2022,1,9
1/10/2022,10,8
1/11/2022,3,8
1/12/2022,5,8
1/13/2022,6,4
1/14/2022,10,4
1/17/2022,1,8
1/18/2022,8,8
1/19/2022,5,7
1/20/2022,6,9
1/21/2022,6,9
1/24/2022,5,2
1/25/2022,11,4
1/26/2022,4,7
1/27/2022,6,6
1/28/2022,3,8
1/30/2022,1,7
1/31/2022,3,6
2/1/2022,2,2
2/2/2022,4,0
2/3/2022,4,6
2/4/2022,5,6
2/5/2022,2,5
2/6/2022,1,5
2/7/2022,9,4
2/8/2022,7,-1
2/9/2022,5,0
2/10/2022,7,5
2/11/2022,10,5
2/14/2022,3,5
2/15/2022,8,5
2/16/2022,7,4
2/17/2022,5,-1
2/18/2022,2,0
2/21/2022,6,5
2/22/2022,3,6
2/23/2022,9,6
2/24/2022,4,6
2/25/2022,1,5
2/28/2022,4,1
3/1/2022,8,4
3/2/2022,7,7
3/3/2022,5,7
3/4/2022,3,8
3/7/2022,4,6
3/8/2022,5,7
3/9/2022,3,4
3/10/2022,16,3
3/11/2022,6,9
3/14/2022,4,8
3/15/2022,4,8
3/16/2022,4,10
3/17/2022,2,8
3/18/2022,4,3
3/19/2022,1,4
3/21/2022,6,8
3/22/2022,5,8
3/23/2022,4,8
3/24/2022,3,9
3/25/2022,5,8
3/28/2022,4,3
3/29/2022,11,3
3/30/2022,6,7
3/31/2022,1,7
4/1/2022,,5
4/2/2022,,1
4/3/2022,,0
4/4/2022,,4
4/5/2022,,5
4/6/2022,,5
4/7/2022,,5
4/8/2022,,4
4/9/2022,,0
4/10/2022,,1
4/11/2022,,6
4/12/2022,,5
4/13/2022,,6
4/14/2022,,5
